barcode,name,price,salePrice,category,expiryDate,quantity,imageUrl,description
7290000006111,עדשים אדומות,11.90,8.90,קטניות ודגנים,2026-12-31,70,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,עדשים אדומות אורגניות 500 גרם. עשירות בחלבון וסיבים תזונתיים. מבושלות במהירות ומשמשות למגוון מנות. ללא גלוטן
7290000006112,קינואה לבנה,24.90,19.90,קטניות ודגנים,2026-10-31,35,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,קינואה לבנה אורגנית 500 גרם. סופר פוד עשיר בחלבון מלא ומינרלים. מתאים לטבעונים וצמחוניים. קל להכנה
7290000007111,רסק עגבניות,6.90,4.90,שימורים ובישול,2026-08-31,100,https://images.unsplash.com/photo-1546548970-71785318a17b?w=400,רסק עגבניות 100% טבעי 400 גרם. ללא תוספת סוכר או חומרים משמרים. מעגבניות איטלקיות מובחרות. מושלם לרטבים ובישולים
7290000007112,שמן זית,45.90,39.90,שימורים ובישול,2025-12-31,40,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,שמן זית בכר מעולה 750 מ"ל. מסחיטה ראשונה קרה. בעל ארומה פירותית ועשירה. מתאים לבישול ולסלטים. תוצרת ספרד
7290000008111,ירקות קפואים,14.90,11.90,קפואים,2026-06-30,55,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=400,תערובת ירקות קפואים 800 גרם. כולל גזר, אפונה, תירס ושעועית. קפוא מיד לאחר הקטיף לשמירה על ערכים תזונתיים
7290000008112,גלידת וניל,19.90,15.90,קפואים,2025-08-31,30,https://images.unsplash.com/photo-1563805042-7684c019e1cb?w=400,גלידת וניל פרימיום 1 לטר. עשויה מחלב אמיתי ותמצית וניל טבעית. קרמית ועשירה במרקם. ללא צבעים וחומרים מלאכותיים
7290000009111,חטיף חלבון אורגני,12.90,9.90,אורגני ובריאות,2025-07-31,80,https://images.unsplash.com/photo-1550989460-0adf9ea622e2?w=400,חטיף חלבון אורגני 50 גרם. עשוי ממרכיבים טבעיים בלבד. מכיל 15 גרם חלבון לחטיף. טעם שוקולד בוטנים. טבעוני
7290000009112,קמח כוסמין מלא,16.90,13.90,אורגני ובריאות,2026-02-28,45,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=400,קמח כוסמין מלא אורגני 1 ק"ג. טחינה טרייה ואיכותית. עשיר בסיבים וחלבון. מתאים לאפייה ובישול. תוצרת ארץ
7290000010111,מיץ תפוזים טבעי,14.90,11.90,משקאות,2025-02-28,60,https://images.unsplash.com/photo-1600271886742-f049cd451bba?w=400,מיץ תפוזים סחוט טרי 1 לטר. 100% מיץ תפוזים ללא תוספת סוכר או מים. סחוט מתפוזי ולנסיה מובחרים. עשיר בויטמין C
7290000010112,תה ירוק יפני,22.90,18.90,משקאות,2026-11-30,40,https://images.unsplash.com/photo-1564890369478-c89ca6d9cde9?w=400,תה ירוק יפני מסורתי 100 גרם. עלי תה איכוטיים מאזור קיוטו. עשיר בנוגדי חמצון. טעם עדין ומרענן. 40 שקיות תה
